cell_id,shelf_id,floor,x,y
2-01-0001-A-A01,2-01-0001,2F,8,1
2-01-0001-A-A02,2-01-0001,2F,8,1
2-01-0001-A-A03,2-01-0001,2F,8,1
2-01-0001-A-B01,2-01-0001,2F,8,1
2-01-0001-A-B02,2-01-0001,2F,8,1
2-01-0001-A-B03,2-01-0001,2F,8,1
2-01-0001-A-C01,2-01-0001,2F,8,1
2-01-0001-A-C02,2-01-0001,2F,8,1
2-01-0001-A-C03,2-01-0001,2F,8,1
2-01-0001-A-D01,2-01-0001,2F,8,1
2-01-0001-A-D02,2-01-0001,2F,8,1
2-01-0001-A-D03,2-01-0001,2F,8,1
2-01-0001-A-E01,2-01-0001,2F,8,1
2-01-0001-A-E02,2-01-0001,2F,8,1
2-01-0001-B-A01,2-01-0001,2F,8,1
2-01-0001-B-B01,2-01-0001,2F,8,1
2-01-0001-B-C01,2-01-0001,2F,8,1
2-01-0001-B-D01,2-01-0001,2F,8,1
2-01-0001-C-A01,2-01-0001,2F,8,1
2-01-0001-C-A02,2-01-0001,2F,8,1
2-01-0001-C-A03,2-01-0001,2F,8,1
2-01-0001-C-B01,2-01-0001,2F,8,1
2-01-0001-C-B02,2-01-0001,2F,8,1
2-01-0001-C-B03,2-01-0001,2F,8,1
2-01-0001-C-C01,2-01-0001,2F,8,1
2-01-0001-C-C02,2-01-0001,2F,8,1
2-01-0001-C-C03,2-01-0001,2F,8,1
2-01-0001-C-D01,2-01-0001,2F,8,1
2-01-0001-C-D02,2-01-0001,2F,8,1
2-01-0001-C-D03,2-01-0001,2F,8,1
2-01-0001-C-E01,2-01-0001,2F,8,1
2-01-0001-C-E02,2-01-0001,2F,8,1
2-01-0001-D-A01,2-01-0001,2F,8,1
2-01-0001-D-B01,2-01-0001,2F,8,1
2-01-0001-D-C01,2-01-0001,2F,8,1
2-01-0001-D-D01,2-01-0001,2F,8,1
2-01-0002-A-A01,2-01-0002,2F,9,1
2-01-0002-A-A02,2-01-0002,2F,9,1
2-01-0002-A-A03,2-01-0002,2F,9,1
2-01-0002-A-B01,2-01-0002,2F,9,1
2-01-0002-A-B02,2-01-0002,2F,9,1
2-01-0002-A-B03,2-01-0002,2F,9,1
2-01-0002-A-C01,2-01-0002,2F,9,1
2-01-0002-A-C02,2-01-0002,2F,9,1
2-01-0002-A-C03,2-01-0002,2F,9,1
2-01-0002-A-D01,2-01-0002,2F,9,1
2-01-0002-A-D02,2-01-0002,2F,9,1
2-01-0002-A-D03,2-01-0002,2F,9,1
2-01-0002-A-E01,2-01-0002,2F,9,1
2-01-0002-A-E02,2-01-0002,2F,9,1
2-01-0002-B-A01,2-01-0002,2F,9,1
2-01-0002-B-B01,2-01-0002,2F,9,1
2-01-0002-B-C01,2-01-0002,2F,9,1
2-01-0002-B-D01,2-01-0002,2F,9,1
2-01-0002-C-A01,2-01-0002,2F,9,1
2-01-0002-C-A02,2-01-0002,2F,9,1
2-01-0002-C-A03,2-01-0002,2F,9,1
2-01-0002-C-B01,2-01-0002,2F,9,1
2-01-0002-C-B02,2-01-0002,2F,9,1
2-01-0002-C-B03,2-01-0002,2F,9,1
2-01-0002-C-C01,2-01-0002,2F,9,1
2-01-0002-C-C02,2-01-0002,2F,9,1
2-01-0002-C-C03,2-01-0002,2F,9,1
2-01-0002-C-D01,2-01-0002,2F,9,1
2-01-0002-C-D02,2-01-0002,2F,9,1
2-01-0002-C-D03,2-01-0002,2F,9,1
2-01-0002-C-E01,2-01-0002,2F,9,1
2-01-0002-C-E02,2-01-0002,2F,9,1
2-01-0002-D-A01,2-01-0002,2F,9,1
2-01-0002-D-B01,2-01-0002,2F,9,1
2-01-0002-D-C01,2-01-0002,2F,9,1
2-01-0002-D-D01,2-01-0002,2F,9,1
2-01-0003-A-A01,2-01-0003,2F,10,1
2-01-0003-A-A02,2-01-0003,2F,10,1
2-01-0003-A-A03,2-01-0003,2F,10,1
2-01-0003-A-B01,2-01-0003,2F,10,1
2-01-0003-A-B02,2-01-0003,2F,10,1
