FRCD,PARTNO,MADFRQ,MADQTY,W,D,H,WT,heavy,metal,¦A¥]¸Ë,minbincount
6,C37HC0AQ02B,-0.4,0,130,125,30,,0,0,0,1
D,4241030021,-0.4,0,175,175,165,4262,0,0,0,1
C,8276037420,0,0,470,470,210,4030,0,1,0,1
A,6980230280,0,0,525,185,55,1065,0,1,0,1
A,1237174540,0,0,210,205,145,1590,0,1,0,1
A,5201120300,0,0,575,200,115,,0,0,0,1
A,5320302130,0,0,560,325,130,9550,0,1,0,1
C,5.3803E+14,0,0,510,320,100,1170,0,1,0,1
A,1236174520,0,0,250,150,50,1398,0,1,0,1
V,C5BCNLLP01B,0,0,202,164,82,636,0,0,0,1
F,TWY140200030T,0,0,460,430,200,,0,0,0,1
O,400980447,0,0,165,155,30,30,0,0,0,1
S,400666108,0,0,100,85,30,5,0,0,1,1
A,559000M070,0,0,335,251,215,895,0,0,0,1
A,87910V2140,0,0,388,318,174,2060,0,0,0,1
A,4461002760,0,0,310,290,290,2778,0,0,0,1
A,478300D060,0,0,225,180,152,,0,0,0,1
A,8794042J30,0,0,446,221,208,1870,0,0,0,1
A,8156160D70,0,0,420,340,190,2500,0,0,0,1
D,8159176010,0,0,380,175,155,685,0,0,0,1
F,TWY447140990,0,0,282,271,198,6092,0,0,0,1
A,8850102580,0,0,396,396,148,1408,0,0,0,1
C,1.61E+227,0,0,252,232,173,6465,0,0,0,1
A,8850152120,0,0,380,355,100,1246,0,0,0,1
A,8158128223,0,0,460,450,260,1194,0,0,0,1
A,9091901194,0,0,85,25,25,50,0,0,1,1
G,8156136260,0,0,430,350,150,1731,0,0,0,1
N,PZ06012752,0,0,280,200,175,485,0,0,0,1
A,739600D150,0,0,329,247,244,2255,0,0,0,1
A,739200K180,0,0,463,243,235,2840,0,0,0,1
D,8156130A40,0,0,315,260,160,300,0,0,0,1
G,449436290,0,0,297,225,150,6205,0,0,0,1
F,TWY447200160,0,0,274,262,187,3620,0,0,0,1
C,8.791E+76,0,0,401,245,183,1586,0,0,0,1
D,8156148250,0,0,430,235,169,1555,0,0,0,1
A,270600T110,0,0,260,235,215,4810,0,0,0,1
A,732200K060B0,0,0,255,232.5,185,,0,0,0,1
N,P740142003,0,0,356,302,155,610,0,0,0,1
A,73910F4011,0,0,420,320,220,1095,0,0,0,1
D,442760120,0,0,350,150,150,1280,0,0,0,1
A,5565002600C0,0,0,210,150,150,362,0,0,0,1
A,6920308020,0,0,364,172,118,404,0,0,0,1
C,23810E0520,0,0,378,166,140,2922,0,0,0,1
6,C8KD500Q02,0,0,390,200,90,1970,0,0,0,1
A,1780155010,0,0,241,77,66,382,0,0,0,1
D,8628033302,0,0,302,232,125,1040,0,0,0,1
A,4461042500,0,0,290,280,280,2630,0,0,0,1
A,1780131180,0,0,275,250,70,500,0,0,0,1
D,8156133430,0,0,430,250,220,1338,0,0,0,1
D,8156150150,0,0,410,287,165,1655,0,0,0,1
C,83210F1011,0,0,350,250,230,2170,0,0,0,1
A,8850126211,0,0,370,345,100,1440,0,0,0,1
A,81581K0130,0,0,459,94,65,240,0,0,0,1
F,TWY447201320,0,0,280,265,190,6930,1,0,0,1
A,879100K917,0,0,370,360,130,1595,0,0,0,1
A,8156126130,0,0,441,221,176,1205,0,0,0,1
C,SZ91044533,0,0,340,150,62.5,,0,0,0,1
A,692000D042,0,0,390,280,150,1600,0,0,0,1
N,DAP5080,0,0,175,141,140,715,0,0,0,1
C,5590037610,0,0,462,342,178,1170,0,0,0,1
D,8791A52N10,0,0,330,210,160,478,0,0,0,1
A,719400DM20C0,0,0,284,228,200,636,0,0,0,1
D,8156130D50,0,0,445,245,195,1425,0,0,0,1
F,TWY447201140,0,0,280,270,200,7470,1,0,0,1
A,3291058010,0,0,244,240,168,770,0,0,0,1
C,5541137060C0,0,0,395,260,250,,0,0,0,1
A,4.2305E+95,0,0,398,330,170,8690,1,0,0,1
A,1799018030,0,0,325,320,180,845,0,0,0,1
A,692100A050D0,0,0,279,83,82,108,0,0,0,1
A,8155147500,0,0,368,264,228,1158,0,0,0,1
D,1610039506,0,0,315,150,140,1260,0,0,0,1
A,8832032250,0,0,300,300,290,0,0,0,0,1
D,4510078170C0,0,0,410,410,160,2316,0,0,0,1
A,8598052010,0,0,124,93,79,102,0,0,0,1
A,8794008902,0,0,385,375,160,1812,0,0,0,1
A,6921002200J1,0,0,225,80,80,180,0,0,0,1
A,8156102060,0,0,470,245,200,1262,0,0,0,1
N,P740328003,0,0,355,305,160,605,0,0,0,1
D,8794033E31A1,0,0,330,225,170,1610,0,0,0,1
D,8158133200,0,0,270,240,120,784,0,0,0,1
A,6787228110C0,0,0,480,470,120,1340,0,0,0,1
A,5839847050,0,0,395,240,235,335,0,0,0,1
A,8148152820,0,0,380,360,105,280,0,0,0,1
A,550450D020C0,0,0,515,320,80,435,0,0,0,1
A,6274326051,0,0,470,470,40,1120,0,0,0,1
A,7461002280A0,0,0,205,65,50,125,0,0,0,1
D,5204076010,0,0,440,310,80,490,0,0,0,1
G,8872036120,0,0,500,420,140,1140,0,0,0,1
N,12461HT040,0,0,185,170,3,15,0,0,0,1
A,7553320370,0,0,450,320,20,220,0,0,0,1
