PARTNO,floor,current_stock,cell
NCR2032MAX,2,1085,2-01-0001-A-A01
NCR2032MAX,2,1085,2-10-0001-A-A01
NCR2032MAX,2,1085,2-01-0002-A-A01
NCR2032MAX,2,1085,2-10-0002-A-A01
A17801AZD04,3,30,3-04-0001-A-A01
A17801AZD04,3,30,3-06-0001-A-G01
A17801AZD04,3,30,3-07-0001-A-G01
A17801AZD04,3,30,3-09-0001-A-F01
A17801AZD04,3,30,3-04-0001-C-A01
A17801AZD04,3,30,3-04-0001-A-A02
A17801AZD04,3,30,3-04-0001-C-A02
A17801AZD04,3,30,3-04-0001-A-B01
A17801AZD04,3,30,3-04-0001-C-B01
A17801AZD04,3,30,3-04-0001-A-B02
A17801AZD04,3,30,3-04-0001-C-B02
A17801AZD04,3,30,3-04-0001-A-C01
A17801AZD04,3,30,3-04-0001-C-C01
A17801AZD04,3,30,3-04-0001-A-C02
A17801AZD04,3,30,3-04-0001-C-C02
A17801AZD04,3,30,3-04-0001-A-E01
A17801AZD04,3,30,3-04-0001-C-E01
A17801AZD04,3,30,3-04-0001-A-E02
A17801AZD04,3,30,3-04-0001-C-E02
A17801AZD04,3,30,3-06-0001-C-G01
A17801AZD04,3,30,3-06-0001-A-G02
A17801AZD04,3,30,3-06-0001-C-G02
A17801AZD04,3,30,3-07-0001-C-G01
A17801AZD04,3,30,3-07-0001-A-G02
A17801AZD04,3,30,3-07-0001-C-G02
A17801AZD04,3,30,3-09-0001-C-F01
A17801AZD04,3,30,3-09-0001-A-F02
A17801AZD04,3,30,3-09-0001-C-F02
A17801AZD04,3,30,3-10-0001-A-F01
A17801AZD04,3,30,3-10-0001-C-F01
A17801AZD04,3,30,3-10-0001-A-F02
A17801AZD04,3,30,3-10-0001-C-F02
A17801AZD04,3,30,3-11-0001-A-G01
A17801AZD04,3,30,3-11-0001-C-G01
A17801AZD04,3,30,3-11-0001-A-G02
A17801AZD04,3,30,3-11-0001-C-G02
A17801AZD04,3,30,3-04-0002-A-A01
A17801AZD04,3,30,3-04-0002-C-A01
A17801AZD04,3,30,3-04-0002-A-A02
A17801AZD04,3,30,3-04-0002-C-A02
A17801AZD04,3,30,3-04-0002-A-B01
A17801AZD04,3,30,3-04-0002-C-B01
A17801AZD04,3,30,3-04-0002-A-B02
