PARTNO,ROUTECD,PARTCUSTID,TRANSCD,QTY,DATE,TIME,PART_ID,datetime,DEADLINE,FOLLOW_TYPE,BATCH_INDEX,BATCH_ID
A76825BZ230,SDTC,D722,4,1.0,2025-07-01,08:35:03,A76825BZ230,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,0,SDTC_B0
D9098012292,SDTC,D751,4,1.0,2025-07-01,08:35:03,D9098012292,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,0,SDTC_B0
A7544342140,SDTC,C711,4,1.0,2025-07-01,08:35:03,A7544342140,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,0,SDTC_B0
A7543142220,SDTC,C711,4,1.0,2025-07-01,08:35:03,A7543142220,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,0,SDTC_B0
A04465F4021,SDTC,D724,4,1.0,2025-07-01,08:35:03,A04465F4021,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,0,SDTC_B0
A5257512230,SDTC,D722,4,1.0,2025-07-01,08:35:03,A5257512230,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,0,SDTC_B0
A88561BZ620,SDTC,D721,4,1.0,2025-07-01,08:35:03,A88561BZ620,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,0,SDTC_B0
N2706028260CY,SDTC,D720,4,1.0,2025-07-01,08:35:03,N2706028260CY,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,0,SDTC_B0
C17451E0110,SDTC,J707,4,2.0,2025-07-01,08:35:03,C17451E0110,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,0,SDTC_B0
A52575BZ080,SDTC,D722,4,1.0,2025-07-01,08:35:03,A52575BZ080,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,0,SDTC_B0
A525350D160,SDTC,D703,4,1.0,2025-07-01,08:35:03,A525350D160,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,0,SDTC_B0
C8318137210,SDTC,J714,4,1.0,2025-07-01,08:35:03,C8318137210,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,0,SDTC_B0
CSZ17810007,SDTC,J707,4,1.0,2025-07-01,08:35:03,CSZ17810007,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,0,SDTC_B0
A7544342110,SDTC,C711,4,1.0,2025-07-01,08:35:03,A7544342110,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,0,SDTC_B0
A525910D300,SDTC,D722,4,1.0,2025-07-01,08:35:03,A525910D300,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,0,SDTC_B0
A52576BZ080,SDTC,D722,4,1.0,2025-07-01,08:35:03,A52576BZ080,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,0,SDTC_B0
CSZ12608007,SDTC,J707,4,2.0,2025-07-01,08:35:03,CSZ12608007,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,0,SDTC_B0
N909160259983,SDTC,D720,4,1.0,2025-07-01,08:35:03,N909160259983,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,0,SDTC_B0
CSZ11610171,SDTC,J707,4,2.0,2025-07-01,08:35:03,CSZ11610171,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,0,SDTC_B0
A5257612230,SDTC,D722,4,1.0,2025-07-01,08:35:03,A5257612230,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,0,SDTC_B0
CS241091860,SDTC,J707,4,1.0,2025-07-01,08:35:03,CS241091860,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,1,SDTC_B1
A9004A18035,SDTC,D721,4,2.0,2025-07-01,08:35:03,A9004A18035,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,1,SDTC_B1
A89341BZ350D5,SDTC,D722,4,1.0,2025-07-01,08:35:03,A89341BZ350D5,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,1,SDTC_B1
D2220431020,SDTC,D751,4,1.0,2025-07-01,08:35:03,D2220431020,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,1,SDTC_B1
A7348002590C0,SDTC,E710,4,1.0,2025-07-01,08:35:03,A7348002590C0,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,1,SDTC_B1
A8710602560,SDTC,E720,4,1.0,2025-07-01,08:35:03,A8710602560,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,1,SDTC_B1
A55715BZ010,SDTC,E724,4,1.0,2025-07-01,08:35:03,A55715BZ010,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,1,SDTC_B1
D7595378020,SDTC,D752,4,1.0,2025-07-01,08:35:03,D7595378020,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,1,SDTC_B1
A6903002580,SDTC,E720,4,1.0,2025-07-01,08:35:03,A6903002580,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,1,SDTC_B1
A7576206110,SDTC,D728,4,1.0,2025-07-01,08:35:03,A7576206110,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,1,SDTC_B1
A6784206230,SDTC,D728,4,1.0,2025-07-01,08:35:03,A6784206230,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,1,SDTC_B1
D7597778020,SDTC,D752,4,1.0,2025-07-01,08:35:03,D7597778020,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,1,SDTC_B1
A7598806090,SDTC,D728,4,1.0,2025-07-01,08:35:03,A7598806090,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,1,SDTC_B1
A5256333060,SDTC,D728,4,1.0,2025-07-01,08:35:03,A5256333060,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,1,SDTC_B1
A6767406100,SDTC,D728,4,1.0,2025-07-01,08:35:03,A6767406100,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,1,SDTC_B1
A9058014073,SDTC,D728,4,2.0,2025-07-01,08:35:03,A9058014073,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,1,SDTC_B1
D7507578020,SDTC,D752,4,1.0,2025-07-01,08:35:03,D7507578020,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,1,SDTC_B1
A4504602040,SDTC,D728,4,1.0,2025-07-01,08:35:03,A4504602040,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,1,SDTC_B1
A6920102230,SDTC,E720,4,1.0,2025-07-01,08:35:03,A6920102230,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,1,SDTC_B1
D6713976020,SDTC,D752,4,1.0,2025-07-01,08:35:03,D6713976020,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,1,SDTC_B1
NP76410K002,SDTC,E720,4,1.0,2025-07-01,08:35:03,NP76410K002,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,2,SDTC_B2
D8821048170,SDTC,D753,4,1.0,2025-07-01,08:35:03,D8821048170,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,2,SDTC_B2
A5381348011,SDTC,D731,4,1.0,2025-07-01,08:35:03,A5381348011,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,2,SDTC_B2
A9011506166,SDTC,D719,4,3.0,2025-07-01,08:35:03,A9011506166,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,2,SDTC_B2
NP76410K003,SDTC,E720,4,1.0,2025-07-01,08:35:03,NP76410K003,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,2,SDTC_B2
A1603124011,SDTC,E710,4,1.0,2025-07-01,08:35:03,A1603124011,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,2,SDTC_B2
A5575402220,SDTC,D731,4,1.0,2025-07-01,08:35:03,A5575402220,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,2,SDTC_B2
A7544042110,SDTC,D728,4,1.0,2025-07-01,08:35:03,A7544042110,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,2,SDTC_B2
A69220BZ260,SDTC,E724,4,1.0,2025-07-01,08:35:03,A69220BZ260,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,2,SDTC_B2
A5246247010,SDTC,D731,4,2.0,2025-07-01,08:35:03,A5246247010,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,2,SDTC_B2
NP75014200224,SDTC,D728,4,1.0,2025-07-01,08:35:03,NP75014200224,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,2,SDTC_B2
A6278560030,SDTC,D728,4,1.0,2025-07-01,08:35:03,A6278560030,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,2,SDTC_B2
A1632525010,SDTC,E710,4,1.0,2025-07-01,08:35:03,A1632525010,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,2,SDTC_B2
A4260716020,SDTC,D731,4,1.0,2025-07-01,08:35:03,A4260716020,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,2,SDTC_B2
A4550309220,SDTC,D728,4,2.0,2025-07-01,08:35:03,A4550309220,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,2,SDTC_B2
A5219147030,SDTC,D731,4,2.0,2025-07-01,08:35:03,A5219147030,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,2,SDTC_B2
A5193124010,SDTC,E707,4,1.0,2025-07-01,08:35:03,A5193124010,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,2,SDTC_B2
A55168BZ080,SDTC,E724,4,1.0,2025-07-01,08:35:03,A55168BZ080,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,2,SDTC_B2
A7586733050,SDTC,D728,4,5.0,2025-07-01,08:35:03,A7586733050,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,2,SDTC_B2
A9018906104,SDTC,D728,4,2.0,2025-07-01,08:35:03,A9018906104,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,2,SDTC_B2
A1603224010,SDTC,E710,4,1.0,2025-07-01,08:35:03,A1603224010,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,3,SDTC_B3
A53705BZ110,SDTC,E724,4,1.0,2025-07-01,08:35:03,A53705BZ110,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,3,SDTC_B3
A4504702010,SDTC,D728,4,1.0,2025-07-01,08:35:03,A4504702010,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,3,SDTC_B3
A773000K010,SDTC,E703,4,1.0,2025-07-01,08:35:03,A773000K010,2025-07-01 08:35:03,2025-07-01 11:00:00,TC1,3,SDTC_B3
