PARTNO,ROUTECD,PARTCUSTID,TRANSCD,QTY,DATE,TIME,PART_ID,datetime
A9009914121,R15,SDTC,4,10.0,2025-07-04,07:50:11,A9009914121,2025-07-04 07:50:11
D8934878131,R15,SDTC,4,2.0,2025-07-04,07:50:11,D8934878131,2025-07-04 07:50:11
D8521428090,R15,SDTC,4,2.0,2025-07-04,07:50:11,D8521428090,2025-07-04 07:50:11
A81484BZ010,R15,SDTC,4,1.0,2025-07-04,07:50:11,A81484BZ010,2025-07-04 07:50:11
A887181E150,R15,SDTC,4,1.0,2025-07-04,07:50:11,A887181E150,2025-07-04 07:50:11
G16346E0040,R15,SDTC,4,1.0,2025-07-04,07:50:11,G16346E0040,2025-07-04 07:50:11
A5357950010,R15,SDTC,4,2.0,2025-07-04,07:50:11,A5357950010,2025-07-04 07:50:11
A9043024017,R15,SDTC,4,4.0,2025-07-04,07:50:11,A9043024017,2025-07-04 07:50:11
CSM38105055,R15,SDTC,4,4.0,2025-07-04,07:50:11,CSM38105055,2025-07-04 07:50:11
DG92DH12050,R15,SDTC,4,1.0,2025-07-04,07:50:10,DG92DH12050,2025-07-04 07:50:10
A9091901259,R15,SDTC,4,10.0,2025-07-04,07:50:10,A9091901259,2025-07-04 07:50:10
NRF1F7,R15,SDTC,4,1.0,2025-07-04,07:50:10,NRF1F7,2025-07-04 07:50:10
C9031168003,R15,SDTC,4,2.0,2025-07-04,07:50:10,C9031168003,2025-07-04 07:50:10
A6462106080,R15,SDTC,4,2.0,2025-07-04,07:50:11,A6462106080,2025-07-04 07:50:11
A531210D190,R15,SDTC,4,2.0,2025-07-04,07:50:11,A531210D190,2025-07-04 07:50:11
6C07C442E54,R15,SDTC,4,2.0,2025-07-04,07:50:11,6C07C442E54,2025-07-04 07:50:11
A112130C011,R15,SDTC,4,1.0,2025-07-04,07:50:11,A112130C011,2025-07-04 07:50:11
A75129BZ010,R15,SDTC,4,3.0,2025-07-04,07:50:11,A75129BZ010,2025-07-04 07:50:11
D8536176010,R15,SDTC,4,1.0,2025-07-04,07:50:11,D8536176010,2025-07-04 07:50:11
D7778542050,R15,SDTC,4,3.0,2025-07-04,07:50:11,D7778542050,2025-07-04 07:50:11
A9018906193,R15,SDTC,4,20.0,2025-07-04,07:50:11,A9018906193,2025-07-04 07:50:11
