PARTNO,ROUTECD,PARTCUSTID,TRANSCD,QTY,DATE,TIME,PART_ID,datetime
F4476006322T,R10,J718,3,1.0,2025-07-03,17:22:04,F4476006322T,2025-07-03 17:22:04
A163630M020,R21,A711,3,1.0,2025-07-03,11:16:03,A163630M020,2025-07-03 11:16:03
A9095001A05,R10,B730,3,1.0,2025-07-03,11:18:02,A9095001A05,2025-07-03 11:18:02
A0446552320,R1,B741,3,1.0,2025-07-02,10:48:03,A0446552320,2025-07-02 10:48:03
CS111981090,R5,J753,3,6.0,2025-07-02,10:46:05,CS111981090,2025-07-02 10:46:05
F4475003750T,R10,J718,3,1.0,2025-07-03,17:22:04,F4475003750T,2025-07-03 17:22:04
A7555152130,R19,A712,8,2.0,2025-07-05,10:58:03,A7555152130,2025-07-05 10:58:03
CSZ43010011,R5,J703,3,1.0,2025-07-03,11:18:03,CSZ43010011,2025-07-03 11:18:03
C23681E0040,R5,J753,3,6.0,2025-07-02,10:46:05,C23681E0040,2025-07-02 10:46:05
A9091603151,R19,A713,3,1.0,2025-07-05,11:32:09,A9091603151,2025-07-05 11:32:09
A1640136030,R19,A713,3,1.0,2025-07-05,11:32:09,A1640136030,2025-07-05 11:32:09
A165730D080,R19,A713,3,1.0,2025-07-05,11:32:09,A165730D080,2025-07-05 11:32:09
A165720T120,R19,A713,3,1.0,2025-07-05,11:32:09,A165720T120,2025-07-05 11:32:09
A165710T160,R19,A713,3,1.0,2025-07-05,11:32:09,A165710T160,2025-07-05 11:32:09
6C34A20AN03B,R11,C714,3,1.0,2025-07-07,11:38:07,6C34A20AN03B,2025-07-07 11:38:07
6C34A20AN02B,R11,C714,3,1.0,2025-07-07,11:38:07,6C34A20AN02B,2025-07-07 11:38:07
A1632137010,R19,A713,3,1.0,2025-07-05,11:32:09,A1632137010,2025-07-05 11:32:09
G3125037221,R5,J753,3,3.0,2025-07-02,10:46:05,G3125037221,2025-07-02 10:46:05
CSZ40110009,R5,J703,3,1.0,2025-07-03,11:18:03,CSZ40110009,2025-07-03 11:18:03
A7556152040,R19,A712,8,4.0,2025-07-05,10:58:03,A7556152040,2025-07-05 10:58:03
A4775033311,R19,C717,3,1.0,2025-07-01,14:18:02,A4775033311,2025-07-01 14:18:02
A123720M070,R5,C702,3,1.0,2025-07-01,13:58:02,A123720M070,2025-07-01 13:58:02
A4806859145,R5,C702,3,1.0,2025-07-01,13:58:02,A4806859145,2025-07-01 13:58:02
A1230521341,R5,C702,3,1.0,2025-07-01,13:58:02,A1230521341,2025-07-01 13:58:02
A90178T0113,R5,C703,3,1.0,2025-07-02,14:08:01,A90178T0113,2025-07-02 14:08:01
A161A029015,R13,C709,3,1.0,2025-07-02,13:50:05,A161A029015,2025-07-02 13:50:05
G4541036042,R10,J701,3,1.0,2025-07-01,16:18:05,G4541036042,2025-07-01 16:18:05
G9672119017,R8,J717,8,4.0,2025-07-01,15:16:03,G9672119017,2025-07-01 15:16:03
A9538104045,R5,C703,3,1.0,2025-07-02,14:08:01,A9538104045,2025-07-02 14:08:01
A43514KK020,R5,C703,3,1.0,2025-07-02,14:08:01,A43514KK020,2025-07-02 14:08:01
A8994442020,R5,C703,3,1.0,2025-07-03,13:04:02,A8994442020,2025-07-03 13:04:02
A5311920120,R10,B730,3,1.0,2025-07-01,16:06:05,A5311920120,2025-07-01 16:06:05
G2368211020,R8,J717,8,4.0,2025-07-01,15:16:03,G2368211020,2025-07-01 15:16:03
A8851502700,R19,A712,8,1.0,2025-07-05,10:58:03,A8851502700,2025-07-05 10:58:03
FTWY447190020,R19,A712,8,1.0,2025-07-05,10:58:03,FTWY447190020,2025-07-05 10:58:03
G1117633010,R8,J717,8,4.0,2025-07-01,15:16:03,G1117633010,2025-07-01 15:16:03
C75102E0011,SDHN,J761,3,1.0,2025-07-04,08:52:02,C75102E0011,2025-07-04 08:52:02
G52157V3010,SDHN,J761,3,1.0,2025-07-04,08:52:02,G52157V3010,2025-07-04 08:52:02
A2810037032,R19,A713,3,1.0,2025-07-02,11:38:08,A2810037032,2025-07-02 11:38:08
C8113037341,SDHN,J761,3,2.0,2025-07-04,08:52:02,C8113037341,2025-07-04 08:52:02
G9043006013,R8,J717,8,4.0,2025-07-01,15:16:03,G9043006013,2025-07-01 15:16:03
CSZ91044H49,R5,J753,3,1.0,2025-07-02,11:30:10,CSZ91044H49,2025-07-02 11:30:10
C16571E0W10,R5,J753,3,1.0,2025-07-02,11:30:10,C16571E0W10,2025-07-02 11:30:10
C16571E0602,R5,J753,3,1.0,2025-07-02,11:30:10,C16571E0602,2025-07-02 11:30:10
A4352571010,R5,C703,3,1.0,2025-07-02,14:08:01,A4352571010,2025-07-02 14:08:01
C7531137330,SDHN,J761,3,1.0,2025-07-04,08:52:02,C7531137330,2025-07-04 08:52:02
C7531137320,SDHN,J761,3,1.0,2025-07-04,08:52:02,C7531137320,2025-07-04 08:52:02
D8173011020,R5,C753,3,1.0,2025-07-03,14:18:04,D8173011020,2025-07-03 14:18:04
C8466037040,R10,J718,3,1.0,2025-07-02,11:24:02,C8466037040,2025-07-02 11:24:02
C16572E0860,R5,J753,3,1.0,2025-07-02,11:30:10,C16572E0860,2025-07-02 11:30:10
A4881806170,TS01,C714,3,1.0,2025-07-05,13:32:02,A4881806170,2025-07-05 13:32:02
A4883048010,TS01,C714,3,1.0,2025-07-05,13:32:02,A4883048010,2025-07-05 13:32:02
N2706028260CY,S09,A724,3,1.0,2025-07-05,13:42:02,N2706028260CY,2025-07-05 13:42:02
A1657136240,R10,B730,3,1.0,2025-07-05,11:10:07,A1657136240,2025-07-05 11:10:07
A1632528010,R10,B730,3,1.0,2025-07-05,11:10:07,A1632528010,2025-07-05 11:10:07
CS894415290,R5,J753,3,2.0,2025-07-07,13:12:02,CS894415290,2025-07-07 13:12:02
C8434037050,R5,J753,3,1.0,2025-07-07,13:12:02,C8434037050,2025-07-07 13:12:02
A9031140047,R14,B74G,8,1.0,2025-07-08,14:44:02,A9031140047,2025-07-08 14:44:02
A9031150058,R14,B74G,8,1.0,2025-07-08,14:44:02,A9031150058,2025-07-08 14:44:02
C9095903331,R5,J753,3,1.0,2025-07-07,13:12:02,C9095903331,2025-07-07 13:12:02
A4245002211,R13,C716,3,1.0,2025-07-07,12:20:05,A4245002211,2025-07-07 12:20:05
A9936320760,R8,C719,3,1.0,2025-07-07,13:46:01,A9936320760,2025-07-07 13:46:01
N909160259983,S09,A724,3,1.0,2025-07-05,13:42:02,N909160259983,2025-07-05 13:42:02
A8158128262,M1,C703,8,1.0,2025-07-05,13:28:02,A8158128262,2025-07-05 13:28:02
A9091602459,R8,C719,3,1.0,2025-07-07,13:46:01,A9091602459,2025-07-07 13:46:01
C9091602773,R5,J753,3,3.0,2025-07-07,13:12:02,C9091602773,2025-07-07 13:12:02
A5611530100,R5,C703,3,2.0,2025-07-03,13:04:02,A5611530100,2025-07-03 13:04:02
A5211668010,S09,A724,3,1.0,2025-07-05,13:42:02,A5211668010,2025-07-05 13:42:02
A75533BZ060,R5,C703,3,1.0,2025-07-03,13:06:01,A75533BZ060,2025-07-03 13:06:01
A56115BZ080,R5,C703,3,2.0,2025-07-03,13:06:01,A56115BZ080,2025-07-03 13:06:01
CS49A0EV010,R5,J703,3,2.0,2025-07-08,15:00:17,CS49A0EV010,2025-07-08 15:00:17
C22204E0010,R10,J718,3,1.0,2025-07-02,11:28:04,C22204E0010,2025-07-02 11:28:04
A5611622050,R5,C703,3,2.0,2025-07-03,13:04:02,A5611622050,2025-07-03 13:04:02
A90947T2071,R13,C715,3,1.0,2025-07-03,13:22:02,A90947T2071,2025-07-03 13:22:02
C9036312024,R10,J718,3,1.0,2025-07-01,16:52:09,C9036312024,2025-07-01 16:52:09
C3125026253,R10,J718,3,1.0,2025-07-01,16:52:09,C3125026253,2025-07-01 16:52:09
C3123060221,R10,J718,3,1.0,2025-07-01,16:52:09,C3123060221,2025-07-01 16:52:09
A56117BZ060,R5,C703,3,1.0,2025-07-03,13:06:01,A56117BZ060,2025-07-03 13:06:01
N12040HWGA,R5,C703,3,1.0,2025-07-03,13:06:01,N12040HWGA,2025-07-03 13:06:01
A90947T2072,R13,C715,3,1.0,2025-07-03,13:22:02,A90947T2072,2025-07-03 13:22:02
C3121036350,R10,J718,3,1.0,2025-07-01,16:52:09,C3121036350,2025-07-01 16:52:09
D8790933F40C1,R13,C752,3,1.0,2025-07-03,14:14:03,D8790933F40C1,2025-07-03 14:14:03
A1636336180,R10,B730,3,1.0,2025-07-05,11:10:07,A1636336180,2025-07-05 11:10:07
A04465BZ280,R1,B716,3,1.0,2025-07-04,11:00:20,A04465BZ280,2025-07-04 11:00:20
A1636336190,R10,B730,3,1.0,2025-07-05,11:10:07,A1636336190,2025-07-05 11:10:07
A123610H090,M1,C73F,3,1.0,2025-07-05,14:36:02,A123610H090,2025-07-05 14:36:02
C894A1E0060,S03,J753,3,1.0,2025-07-05,14:42:01,C894A1E0060,2025-07-05 14:42:01
A123050H010,M1,C73F,3,1.0,2025-07-05,14:36:02,A123050H010,2025-07-05 14:36:02
A123710H050,M1,C73F,3,1.0,2025-07-05,14:36:02,A123710H050,2025-07-05 14:36:02
A123060H021,M1,C73F,3,1.0,2025-07-05,14:36:02,A123060H021,2025-07-05 14:36:02
A9091603148,R10,B730,3,1.0,2025-07-05,11:10:07,A9091603148,2025-07-05 11:10:07
A1657236160,R10,B730,3,1.0,2025-07-05,11:10:07,A1657236160,2025-07-05 11:10:07
D0446547070,R8,C755,3,1.0,2025-07-04,09:56:02,D0446547070,2025-07-04 09:56:02
A1632136060,R10,B730,3,1.0,2025-07-05,11:10:07,A1632136060,2025-07-05 11:10:07
G4542136030,R8,J717,3,1.0,2025-07-09,16:44:04,G4542136030,2025-07-09 16:44:04
A5611750140,R14,A711,3,1.0,2025-07-04,15:30:15,A5611750140,2025-07-04 15:30:15
A9091603093,R6,A713,8,1.0,2025-07-04,15:08:05,A9091603093,2025-07-04 15:08:05
A163630M080,R6,A713,8,1.0,2025-07-04,15:08:05,A163630M080,2025-07-04 15:08:05
CS293671120,R9,J752,3,2.0,2025-07-08,15:32:04,CS293671120,2025-07-08 15:32:04
A4324673010,R6,A712,3,2.0,2025-07-08,15:38:03,A4324673010,2025-07-08 15:38:03
A90369T0007,R6,A712,3,1.0,2025-07-08,15:38:03,A90369T0007,2025-07-08 15:38:03
A5611750140,R5,C703,3,1.0,2025-07-03,13:04:02,A5611750140,2025-07-03 13:04:02
