FRCD,PARTNO,ROUTECD,PARTCUSTID,QTY,DATE,TIME,datetime,WAVE_ID,WAVE_DEADLINE,IS_ROLLOVER
A,SU00303624,R6,GR01,1,2025/7/1,08:42:21,2025-07-01 08:42:21,W_20250701_0925,2025-07-01 09:25:00,0
7,121HT0W20SP,R6,4277,12,2025/7/1,08:54:11,2025-07-01 08:54:11,W_20250701_0925,2025-07-01 09:25:00,0
7,121HT5W40SP,R6,4277,144,2025/7/1,08:54:59,2025-07-01 08:54:59,W_20250701_0925,2025-07-01 09:25:00,0
7,121HT5W50SP,R6,4277,120,2025/7/1,08:54:59,2025-07-01 08:54:59,W_20250701_0925,2025-07-01 09:25:00,0
7,121HT0W20SP,R6,4277,60,2025/7/1,08:54:59,2025-07-01 08:54:59,W_20250701_0925,2025-07-01 09:25:00,0
7,121HT10W40SP,R6,4277,720,2025/7/1,08:54:59,2025-07-01 08:54:59,W_20250701_0925,2025-07-01 09:25:00,0
7,121HT0W20SP,R6,4277,528,2025/7/1,08:55:00,2025-07-01 08:55:00,W_20250701_0925,2025-07-01 09:25:00,0
7,121HT10W40SP,R6,4277,1056,2025/7/1,08:55:00,2025-07-01 08:55:00,W_20250701_0925,2025-07-01 09:25:00,0
7,121HTT420F,R6,4277,156,2025/7/1,08:55:00,2025-07-01 08:55:00,W_20250701_0925,2025-07-01 09:25:00,0
7,62HTLLCCC,R6,4277,120,2025/7/1,08:55:00,2025-07-01 08:55:00,W_20250701_0925,2025-07-01 09:25:00,0
7,62HTLLCCC,R6,4277,12,2025/7/1,08:55:04,2025-07-01 08:55:04,W_20250701_0925,2025-07-01 09:25:00,0
7,62HTLLCCC,R6,4277,120,2025/7/1,08:55:06,2025-07-01 08:55:06,W_20250701_0925,2025-07-01 09:25:00,0
7,121HT0W20SP,R6,4277,252,2025/7/1,08:55:07,2025-07-01 08:55:07,W_20250701_0925,2025-07-01 09:25:00,0
7,121HT10W40SP,R6,4277,192,2025/7/1,08:55:07,2025-07-01 08:55:07,W_20250701_0925,2025-07-01 09:25:00,0
7,121HT5W30SP,R6,4277,360,2025/7/1,08:55:07,2025-07-01 08:55:07,W_20250701_0925,2025-07-01 09:25:00,0
7,121HT5W30SP,R6,4277,168,2025/7/1,08:55:08,2025-07-01 08:55:08,W_20250701_0925,2025-07-01 09:25:00,0
7,121HT5W40SP,R6,4277,912,2025/7/1,08:55:08,2025-07-01 08:55:08,W_20250701_0925,2025-07-01 09:25:00,0
7,121HTT420F,R6,4277,156,2025/7/1,08:55:08,2025-07-01 08:55:08,W_20250701_0925,2025-07-01 09:25:00,0
7,121HTT510F,R6,4277,360,2025/7/1,08:55:08,2025-07-01 08:55:08,W_20250701_0925,2025-07-01 09:25:00,0
7,121HT5W50SP,R6,4277,192,2025/7/1,08:55:08,2025-07-01 08:55:08,W_20250701_0925,2025-07-01 09:25:00,0
7,121HTT510F,R6,4277,240,2025/7/1,08:55:09,2025-07-01 08:55:09,W_20250701_0925,2025-07-01 09:25:00,0
7,121HTT420F,R6,4277,360,2025/7/1,08:55:09,2025-07-01 08:55:09,W_20250701_0925,2025-07-01 09:25:00,0
7,8713947010DS,R6,4277,52,2025/7/1,08:55:10,2025-07-01 08:55:10,W_20250701_0925,2025-07-01 09:25:00,0
A,4234058050,R14,B701,1,2025/7/1,09:16:39,2025-07-01 09:16:39,W_20250701_1100,2025-07-01 11:00:00,0
A,238260T290,R14,B701,5,2025/7/1,09:16:39,2025-07-01 09:16:39,W_20250701_1100,2025-07-01 11:00:00,0
A,174100TP70,R14,B701,1,2025/7/1,09:16:39,2025-07-01 09:16:39,W_20250701_1100,2025-07-01 11:00:00,0
A,6905712400,R14,B701,2,2025/7/1,09:16:39,2025-07-01 09:16:39,W_20250701_1100,2025-07-01 11:00:00,0
A,5590002N40B0,R14,B701,2,2025/7/1,09:16:39,2025-07-01 09:16:39,W_20250701_1100,2025-07-01 11:00:00,0
A,536300D220,R14,B701,10,2025/7/1,09:16:39,2025-07-01 09:16:39,W_20250701_1100,2025-07-01 11:00:00,0
A,4882426210,R14,B701,20,2025/7/1,09:16:39,2025-07-01 09:16:39,W_20250701_1100,2025-07-01 11:00:00,0
A,488120M010,R14,B701,1,2025/7/1,09:16:39,2025-07-01 09:16:39,W_20250701_1100,2025-07-01 11:00:00,0
A,485300A230,R14,B701,5,2025/7/1,09:16:39,2025-07-01 09:16:39,W_20250701_1100,2025-07-01 11:00:00,0
A,485300A220,R14,B701,5,2025/7/1,09:16:39,2025-07-01 09:16:39,W_20250701_1100,2025-07-01 11:00:00,0
A,485208Z453,R14,B701,3,2025/7/1,09:16:39,2025-07-01 09:16:39,W_20250701_1100,2025-07-01 11:00:00,0
A,485208Z343,R14,B701,3,2025/7/1,09:16:39,2025-07-01 09:16:39,W_20250701_1100,2025-07-01 11:00:00,0
A,485208Z342,R14,B701,3,2025/7/1,09:16:39,2025-07-01 09:16:39,W_20250701_1100,2025-07-01 11:00:00,0
A,485208Z271,R14,B701,3,2025/7/1,09:16:39,2025-07-01 09:16:39,W_20250701_1100,2025-07-01 11:00:00,0
A,485108Z634,R14,B701,3,2025/7/1,09:16:39,2025-07-01 09:16:39,W_20250701_1100,2025-07-01 11:00:00,0
A,4851009V90,R14,B701,6,2025/7/1,09:16:39,2025-07-01 09:16:39,W_20250701_1100,2025-07-01 11:00:00,0
A,4823130D70,R14,B701,2,2025/7/1,09:16:39,2025-07-01 09:16:39,W_20250701_1100,2025-07-01 11:00:00,0
A,4823128B40,R14,B701,1,2025/7/1,09:16:39,2025-07-01 09:16:39,W_20250701_1100,2025-07-01 11:00:00,0
A,482310D550,R14,B701,30,2025/7/1,09:16:39,2025-07-01 09:16:39,W_20250701_1100,2025-07-01 11:00:00,0
A,482310D221,R14,B701,30,2025/7/1,09:16:39,2025-07-01 09:16:39,W_20250701_1100,2025-07-01 11:00:00,0
A,482310A230,R14,B701,6,2025/7/1,09:16:39,2025-07-01 09:16:39,W_20250701_1100,2025-07-01 11:00:00,0
A,482310A220,R14,B701,6,2025/7/1,09:16:39,2025-07-01 09:16:39,W_20250701_1100,2025-07-01 11:00:00,0
A,4823102V80,R14,B701,6,2025/7/1,09:16:39,2025-07-01 09:16:39,W_20250701_1100,2025-07-01 11:00:00,0
A,4823102T40,R14,B701,6,2025/7/1,09:16:39,2025-07-01 09:16:39,W_20250701_1100,2025-07-01 11:00:00,0
A,4823102Q00,R14,B701,4,2025/7/1,09:16:39,2025-07-01 09:16:39,W_20250701_1100,2025-07-01 11:00:00,0
A,4823102P91,R14,B701,4,2025/7/1,09:16:39,2025-07-01 09:16:39,W_20250701_1100,2025-07-01 11:00:00,0
A,4813147150,R14,B701,1,2025/7/1,09:16:39,2025-07-01 09:16:39,W_20250701_1100,2025-07-01 11:00:00,0
A,4813142A90,R14,B701,3,2025/7/1,09:16:39,2025-07-01 09:16:39,W_20250701_1100,2025-07-01 11:00:00,0
A,4813130G20,R14,B701,2,2025/7/1,09:16:39,2025-07-01 09:16:39,W_20250701_1100,2025-07-01 11:00:00,0
A,4813130G10,R14,B701,2,2025/7/1,09:16:39,2025-07-01 09:16:39,W_20250701_1100,2025-07-01 11:00:00,0
A,4813112L50,R14,B701,2,2025/7/1,09:16:39,2025-07-01 09:16:39,W_20250701_1100,2025-07-01 11:00:00,0
A,481310ZC30,R14,B701,6,2025/7/1,09:16:39,2025-07-01 09:16:39,W_20250701_1100,2025-07-01 11:00:00,0
A,481310Z540,R14,B701,3,2025/7/1,09:16:39,2025-07-01 09:16:39,W_20250701_1100,2025-07-01 11:00:00,0
A,481310A250,R14,B701,6,2025/7/1,09:16:39,2025-07-01 09:16:39,W_20250701_1100,2025-07-01 11:00:00,0
A,481310A240,R14,B701,6,2025/7/1,09:16:39,2025-07-01 09:16:39,W_20250701_1100,2025-07-01 11:00:00,0
A,464200D290,R14,B701,10,2025/7/1,09:16:39,2025-07-01 09:16:39,W_20250701_1100,2025-07-01 11:00:00,0
A,4642002320,R14,B701,3,2025/7/1,09:16:39,2025-07-01 09:16:39,W_20250701_1100,2025-07-01 11:00:00,0
A,452600D261,R14,B701,6,2025/7/1,09:16:39,2025-07-01 09:16:39,W_20250701_1100,2025-07-01 11:00:00,0
A,4461002G40,R14,B701,7,2025/7/1,09:16:39,2025-07-01 09:16:39,W_20250701_1100,2025-07-01 11:00:00,0
A,4461002G30,R14,B701,4,2025/7/1,09:16:39,2025-07-01 09:16:39,W_20250701_1100,2025-07-01 11:00:00,0
A,4351652020,R14,B701,1,2025/7/1,09:16:39,2025-07-01 09:16:39,W_20250701_1100,2025-07-01 11:00:00,0
A,8846058040,R14,B701,1,2025/7/1,09:16:39,2025-07-01 09:16:39,W_20250701_1100,2025-07-01 11:00:00,0
