ROUTECD,PARTCUSTID,COUNT
K,D722,1305
E,D703,1127
H,D728,1117
K8,F701,984
F,D720,864
K,D731,782
C,D719,738
G,E710,632
B,D701,605
E,D710,604
D,D706,596
A,D713,592
K28,F701,590
D,D718,574
B,D754,571
A,D721,554
H,D730,553
B,D751,548
C,D705,528
E,D753,489
H,D714,485
D,D704,477
K4,E704,463
K5,F712,423
B,D702,421
K7,F711,412
B,D729,410
K6,F710,401
A,D711,391
K1,E709,391
F,C711,383
J,J706,371
K5,F704,371
D,D752,370
G,J715,351
K1,E702,349
K29,F728,335
C,D716,335
G,E707,330
KS2,J711,325
K8,F730,321
F,D707,321
K4,E711,320
D,J707,317
G,E720,316
G,E703,314
K3,E751,308
F,D725,306
K2,E705,302
G,E724,301
K4,J710,299
K3,E706,294
K4,E712,291
K6,F709,288
K3,E701,287
K23,E722,286
K21,E709,284
KS1,F74J,281
K8,F703,280
K8,F752,277
K5,F722,276
C,D708,275
K2,F716,274
K,D724,269
K3,E722,268
H,D712,256
K2,E718,251
K3,E721,251
K21,E702,248
K2,E708,244
K7,F727,243
K24,E704,239
K7,F753,236
C,J714,233
K5,F728,232
K27,F711,231
K26,F710,226
K7,F717,226
K1,E752,222
K23,E701,221
H,D709,218
K24,E711,217
K1,E713,215
K1,E719,211
K6,F720,206
G,E716,198
K21,E723,195
K24,E712,194
K6,F714,188
K22,E708,183
K22,E705,182
K5,F708,180
K29,F727,178
K26,F704,176
K27,F717,170
K22,F703,169
K26,F752,164
K8,F713,163
G,E754,161
F,D74E,160
K21,E719,160
K1,J709,159
K1,E723,159
K22,F730,159
A,D723,157
K27,F722,154
K23,E706,153
K2,E715,150
K25,F720,147
K29,F712,147
K7,F741,147
K25,F719,146
K6,F719,144
K21,E713,139
K25,F714,134
NAN,SDHN,132
K28,F716,130
K5,F721,129
NAN,SDTC,128
K27,F753,123
K25,F709,122
K7,F751,121
K2,E742,118
K6,J713,117
K22,E718,113
K23,E721,112
K24,E751,106
K25,F708,105
S09,A701,104
K29,F747,104
K3,E741,101
K8,F718,99
E,D749,98
A,D746,97
H,D744,97
K8,F743,97
K5,J712,97
K21,E752,97
K23,E744,97
M1,C703,96
F,D748,95
S02,C718,94
K3,E743,93
R1,B74F,92
K8,F729,92
K6,F744,88
K22,F713,88
K7,F745,88
A,D74G,82
K29,F724,81
R18,G742,81
K5,F754,81
K8,F74F,80
E,D741,80
K8,F742,79
S04,A753,79
B,D74H,78
HC11,4277,78
S06,A703,75
G,E74A,75
S03,C702,74
K28,F74E,74
K25,F721,74
R9,A74F,73
K21,E745,72
K26,F74K,71
K21,J709,71
D,D743,71
F,D74A,71
G,E746,70
S05,B752,70
K22,E715,69
S05,A717,68
H,D74K,67
K,D742,66
A,D747,66
K7,F755,65
K24,E748,64
K25,F74D,63
B,D74C,63
K26,F74B,62
K,D74B,62
D,D74J,60
K28,F729,59
E,D74D,59
K4,E749,59
K2,E74E,58
K26,F749,58
S07,B713,57
K4,E74C,57
K27,F748,57
B,D74F,56
K27,F751,56
K25,F746,55
R99,PB02,54
S04,B730,53
B,D745,53
K21,E74B,53
K26,F754,52
K4,E74D,52
S09,A724,52
K28,F74A,52
K26,J713,51
S04,A726,50
K25,F74C,49
S05,A729,48
K24,J710,46
S04,B756,46
S04,J701,46
S09,A705,45
K7,F74G,44
K2,E74F,41
S07,B717,40
K28,F718,40
S03,C712,39
K3,E74G,38
S05,A755,38
S04,B708,38
S03,J703,37
S03,A713,36
S09,A752,36
S01,C713,35
S10,C717,34
TS01,C709,34
K27,F755,33
S08,A720,33
S10,C722,33
K25,F74H,33
K26,J712,33
S01,J705,32
K24,E747,32
S06,A709,32
S05,B701,32
TS01,C714,32
S09,A714,30
S07,J718,28
B,D756,27
S07,B722,27
S08,B703,26
S03,C724,26
S02,C708,26
S03,A712,26
S02,C701,26
S10,C725,26
S10,C719,26
S09,J702,23
S03,C751,22
S10,C73A,21
HC11,J703,21
KS2,J761,21
S07,B721,21
S04,B705,20
S08,B718,20
S02,C726,20
S08,B714,20
K24,J760,20
S08,B702,18
S02,C752,18
KS2,J790,17
S07,B716,17
S01,C707,17
S04,B736,16
S05,A702,16
S01,C706,16
HC11,J716,15
S02,C715,15
S09,A711,14
S10,C723,14
R99,LB04,13
HC11,J701,13
S06,A716,13
HC11,J702,12
HC11,J705,12
S08,B706,12
M1,C736,11
S01,C754,11
S08,B755,11
S01,C727,11
M1,C73F,10
K4,J760,10
HC11,J717,9
M1,C735,9
R99,MB02,8
K1,J759,8
S06,A754,8
R5,C732,8
J,J756,7
R2,J751,7
S10,C755,7
HC11,C726,6
HC11,G751,6
J,M704,5
S06,J716,5
HC11,C723,5
HC11,M702,5
HC11,C703,4
HC11,C712,4
S01,J704,4
S08,B732,4
HC11,J718,4
HC11,J783,4
HC11,H751,3
HC11,C719,3
HC11,C709,3
S03,C73G,3
HC11,J704,3
HC11,C718,3
SDTC,M704,3
HC11,C722,2
A,HTBS,2
K24,M708,2
HC11,C713,2
HC11,C707,2
KS2,M705,2
R99,C73F,2
K21,J759,2
SDTC,M707,2
S09,A756,1
M1,C753,1
S10,J717,1
HC11,MA04,1
HC11,C708,1
S09,J752,1
R99,C73G,1
G,M707,1
K26,J762,1
HC11,H704,1
HC11,G702,1
HC11,A717,1
R99,HJ08,1
R99,3109,1
HC11,02F4,1
D,J757,1
J,M754,1
